league,season,team1,team2,winner,game_score
NBA,1985,Chicago Bulls,Milwaukee Bucks,Milwaukee Bucks,1:3
NBA,1985,Dallas Mavericks,Portland Trail Blazers,Portland Trail Blazers,1:3
NBA,1985,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,1:4
NBA,1985,Denver Nuggets,San Antonio Spurs,Denver Nuggets,3:2
NBA,1985,Denver Nuggets,Utah Jazz,Denver Nuggets,4:1
NBA,1985,Detroit Pistons,New Jersey Nets,Detroit Pistons,3:0
NBA,1985,Houston Rockets,Utah Jazz,Utah Jazz,2:3
NBA,1985,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,3:0
NBA,1985,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,4:1
NBA,1985,Milwaukee Bucks,Philadelphia 76ers,Philadelphia 76ers,0:4
NBA,1985,Philadelphia 76ers,Washington Bullets,Philadelphia 76ers,3:1
NBA,1986,Atlanta Hawks,Boston Celtics,Boston Celtics,1:4
NBA,1986,Atlanta Hawks,Detroit Pistons,Atlanta Hawks,3:1
NBA,1986,Boston Celtics,Chicago Bulls,Boston Celtics,3:0
NBA,1986,Boston Celtics,Houston Rockets,Boston Celtics,4:2
NBA,1986,Boston Celtics,Milwaukee Bucks,Boston Celtics,4:0
NBA,1986,Dallas Mavericks,Los Angeles Lakers,Los Angeles Lakers,2:4
NBA,1986,Dallas Mavericks,Utah Jazz,Dallas Mavericks,3:1
NBA,1986,Denver Nuggets,Houston Rockets,Houston Rockets,2:4
NBA,1986,Denver Nuggets,Portland Trail Blazers,Denver Nuggets,3:1
NBA,1986,Houston Rockets,Los Angeles Lakers,Houston Rockets,4:1
NBA,1986,Houston Rockets,Sacramento Kings,Houston Rockets,3:0
NBA,1986,Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,3:0
NBA,1986,Milwaukee Bucks,New Jersey Nets,Milwaukee Bucks,3:0
NBA,1986,Milwaukee Bucks,Philadelphia 76ers,Milwaukee Bucks,4:3
NBA,1986,Philadelphia 76ers,Washington Bullets,Philadelphia 76ers,3:2
NBA,1987,Atlanta Hawks,Detroit Pistons,Detroit Pistons,1:4
NBA,1987,Atlanta Hawks,Indiana Pacers,Atlanta Hawks,3:1
NBA,1987,Boston Celtics,Chicago Bulls,Boston Celtics,3:0
NBA,1987,Boston Celtics,Detroit Pistons,Boston Celtics,4:3
NBA,1987,Boston Celtics,Los Angeles Lakers,Los Angeles Lakers,2:4
NBA,1987,Boston Celtics,Milwaukee Bucks,Boston Celtics,4:3
NBA,1987,Dallas Mavericks,Seattle SuperSonics,Seattle SuperSonics,1:3
NBA,1987,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,0:3
NBA,1987,Detroit Pistons,Washington Bullets,Detroit Pistons,3:0
NBA,1987,Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers,1:4
NBA,1987,Golden State Warriors,Utah Jazz,Golden State Warriors,3:2
NBA,1987,Houston Rockets,Portland Trail Blazers,Houston Rockets,3:1
NBA,1987,Houston Rockets,Seattle SuperSonics,Seattle SuperSonics,2:4
NBA,1987,Los Angeles Lakers,Seattle SuperSonics,Los Angeles Lakers,4:0
NBA,1987,Milwaukee Bucks,Philadelphia 76ers,Milwaukee Bucks,3:2
NBA,1988,Atlanta Hawks,Boston Celtics,Boston Celtics,3:4
NBA,1988,Atlanta Hawks,Milwaukee Bucks,Atlanta Hawks,3:2
NBA,1988,Boston Celtics,Detroit Pistons,Detroit Pistons,2:4
NBA,1988,Boston Celtics,New York Knicks,Boston Celtics,3:1
NBA,1988,Chicago Bulls,Cleveland Cavaliers,Chicago Bulls,3:2
NBA,1988,Chicago Bulls,Detroit Pistons,Detroit Pistons,1:4
NBA,1988,Dallas Mavericks,Denver Nuggets,Dallas Mavericks,4:2
NBA,1988,Dallas Mavericks,Houston Rockets,Dallas Mavericks,3:1
NBA,1988,Dallas Mavericks,Los Angeles Lakers,Los Angeles Lakers,3:4
NBA,1988,Denver Nuggets,Seattle SuperSonics,Denver Nuggets,3:2
NBA,1988,Detroit Pistons,Los Angeles Lakers,Los Angeles Lakers,3:4
NBA,1988,Detroit Pistons,Washington Bullets,Detroit Pistons,3:2
NBA,1988,Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,3:0
NBA,1988,Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,4:3
NBA,1988,Portland Trail Blazers,Utah Jazz,Utah Jazz,1:3
NBA,1989,Atlanta Hawks,Milwaukee Bucks,Milwaukee Bucks,2:3
NBA,1989,Boston Celtics,Detroit Pistons,Detroit Pistons,0:3
NBA,1989,Chicago Bulls,Cleveland Cavaliers,Chicago Bulls,3:2
NBA,1989,Chicago Bulls,Detroit Pistons,Detroit Pistons,2:4
NBA,1989,Chicago Bulls,New York Knicks,Chicago Bulls,4:2
NBA,1989,Denver Nuggets,Phoenix Suns,Phoenix Suns,0:3
NBA,1989,Detroit Pistons,Los Angeles Lakers,Detroit Pistons,4:0
NBA,1989,Detroit Pistons,Milwaukee Bucks,Detroit Pistons,4:0
NBA,1989,Golden State Warriors,Phoenix Suns,Phoenix Suns,1:4
NBA,1989,Golden State Warriors,Utah Jazz,Golden State Warriors,3:0
NBA,1989,Houston Rockets,Seattle SuperSonics,Seattle SuperSonics,1:3
NBA,1989,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,4:0
NBA,1989,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,3:0
NBA,1989,Los Angeles Lakers,Seattle SuperSonics,Los Angeles Lakers,4:0
NBA,1989,New York Knicks,Philadelphia 76ers,New York Knicks,3:0
NBA,1990,Boston Celtics,New York Knicks,New York Knicks,2:3
NBA,1990,Chicago Bulls,Detroit Pistons,Detroit Pistons,3:4
NBA,1990,Chicago Bulls,Milwaukee Bucks,Chicago Bulls,3:1
NBA,1990,Chicago Bulls,Philadelphia 76ers,Chicago Bulls,4:1
NBA,1990,Cleveland Cavaliers,Philadelphia 76ers,Philadelphia 76ers,2:3
NBA,1990,Dallas Mavericks,Portland Trail Blazers,Portland Trail Blazers,0:3
NBA,1990,Denver Nuggets,San Antonio Spurs,San Antonio Spurs,0:3
NBA,1990,Detroit Pistons,Indiana Pacers,Detroit Pistons,3:0
NBA,1990,Detroit Pistons,New York Knicks,Detroit Pistons,4:1
NBA,1990,Detroit Pistons,Portland Trail Blazers,Detroit Pistons,4:1
NBA,1990,Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,1:3
NBA,1990,Los Angeles Lakers,Phoenix Suns,Phoenix Suns,1:4
NBA,1990,Phoenix Suns,Portland Trail Blazers,Portland Trail Blazers,2:4
NBA,1990,Phoenix Suns,Utah Jazz,Phoenix Suns,3:2
NBA,1990,Portland Trail Blazers,San Antonio Spurs,Portland Trail Blazers,4:3
NBA,1991,Atlanta Hawks,Detroit Pistons,Detroit Pistons,2:3
NBA,1991,Boston Celtics,Detroit Pistons,Detroit Pistons,2:4
NBA,1991,Boston Celtics,Indiana Pacers,Boston Celtics,3:2
NBA,1991,Chicago Bulls,Detroit Pistons,Chicago Bulls,4:0
NBA,1991,Chicago Bulls,Los Angeles Lakers,Chicago Bulls,4:1
NBA,1991,Chicago Bulls,New York Knicks,Chicago Bulls,3:0
NBA,1991,Chicago Bulls,Philadelphia 76ers,Chicago Bulls,4:1
NBA,1991,Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers,1:4
NBA,1991,Golden State Warriors,San Antonio Spurs,Golden State Warriors,3:1
NBA,1991,Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,0:3
NBA,1991,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,4:2
NBA,1991,Milwaukee Bucks,Philadelphia 76ers,Philadelphia 76ers,0:3
NBA,1991,Phoenix Suns,Utah Jazz,Utah Jazz,1:3
NBA,1991,Portland Trail Blazers,Seattle SuperSonics,Portland Trail Blazers,3:2
NBA,1991,Portland Trail Blazers,Utah Jazz,Portland Trail Blazers,4:1
NBA,1992,Boston Celtics,Cleveland Cavaliers,Cleveland Cavaliers,3:4
NBA,1992,Boston Celtics,Indiana Pacers,Boston Celtics,3:0
NBA,1992,Chicago Bulls,Cleveland Cavaliers,Chicago Bulls,4:2
NBA,1992,Chicago Bulls,Miami Heat,Chicago Bulls,3:0
NBA,1992,Chicago Bulls,New York Knicks,Chicago Bulls,4:3
NBA,1992,Chicago Bulls,Portland Trail Blazers,Chicago Bulls,4:2
NBA,1992,Cleveland Cavaliers,New Jersey Nets,Cleveland Cavaliers,3:1
NBA,1992,Detroit Pistons,New York Knicks,New York Knicks,2:3
NBA,1992,Golden State Warriors,Seattle SuperSonics,Seattle SuperSonics,1:3
NBA,1992,Los Angeles Clippers,Utah Jazz,Utah Jazz,2:3
NBA,1992,Los Angeles Lakers,Portland Trail Blazers,Portland Trail Blazers,1:3
NBA,1992,Phoenix Suns,Portland Trail Blazers,Portland Trail Blazers,1:4
NBA,1992,Phoenix Suns,San Antonio Spurs,Phoenix Suns,3:0
NBA,1992,Portland Trail Blazers,Utah Jazz,Portland Trail Blazers,4:2
NBA,1992,Seattle SuperSonics,Utah Jazz,Utah Jazz,1:4
NBA,1993,Atlanta Hawks,Chicago Bulls,Chicago Bulls,0:3
NBA,1993,Boston Celtics,Charlotte Hornets,Charlotte Hornets,1:3
NBA,1993,Charlotte Hornets,New York Knicks,New York Knicks,1:4
NBA,1993,Chicago Bulls,Cleveland Cavaliers,Chicago Bulls,4:0
NBA,1993,Chicago Bulls,New York Knicks,Chicago Bulls,4:2
NBA,1993,Chicago Bulls,Phoenix Suns,Chicago Bulls,4:2
NBA,1993,Cleveland Cavaliers,New Jersey Nets,Cleveland Cavaliers,3:2
NBA,1993,Houston Rockets,Los Angeles Clippers,Houston Rockets,3:2
NBA,1993,Houston Rockets,Seattle SuperSonics,Seattle SuperSonics,3:4
NBA,1993,Indiana Pacers,New York Knicks,New York Knicks,1:3
NBA,1993,Los Angeles Lakers,Phoenix Suns,Phoenix Suns,2:3
NBA,1993,Phoenix Suns,San Antonio Spurs,Phoenix Suns,4:2
NBA,1993,Phoenix Suns,Seattle SuperSonics,Phoenix Suns,4:3
NBA,1993,Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs,1:3
NBA,1993,Seattle SuperSonics,Utah Jazz,Seattle SuperSonics,3:2
NBA,1994,Atlanta Hawks,Indiana Pacers,Indiana Pacers,2:4
NBA,1994,Atlanta Hawks,Miami Heat,Atlanta Hawks,3:2
NBA,1994,Chicago Bulls,Cleveland Cavaliers,Chicago Bulls,3:0
NBA,1994,Chicago Bulls,New York Knicks,New York Knicks,3:4
NBA,1994,Denver Nuggets,Seattle SuperSonics,Denver Nuggets,3:2
NBA,1994,Denver Nuggets,Utah Jazz,Utah Jazz,3:4
NBA,1994,Golden State Warriors,Phoenix Suns,Phoenix Suns,0:3
NBA,1994,Houston Rockets,New York Knicks,Houston Rockets,4:3
NBA,1994,Houston Rockets,Phoenix Suns,Houston Rockets,4:3
NBA,1994,Houston Rockets,Portland Trail Blazers,Houston Rockets,3:1
NBA,1994,Houston Rockets,Utah Jazz,Houston Rockets,4:1
NBA,1994,Indiana Pacers,New York Knicks,New York Knicks,3:4
NBA,1994,Indiana Pacers,Orlando Magic,Indiana Pacers,3:0
NBA,1994,New Jersey Nets,New York Knicks,New York Knicks,1:3
NBA,1994,San Antonio Spurs,Utah Jazz,Utah Jazz,1:3
NBA,1995,Atlanta Hawks,Indiana Pacers,Indiana Pacers,0:3
NBA,1995,Boston Celtics,Orlando Magic,Orlando Magic,1:3
NBA,1995,Charlotte Hornets,Chicago Bulls,Chicago Bulls,1:3
NBA,1995,Chicago Bulls,Orlando Magic,Orlando Magic,2:4
NBA,1995,Cleveland Cavaliers,New York Knicks,New York Knicks,1:3
NBA,1995,Denver Nuggets,San Antonio Spurs,San Antonio Spurs,0:3
NBA,1995,Houston Rockets,Orlando Magic,Houston Rockets,4:0
NBA,1995,Houston Rockets,Phoenix Suns,Houston Rockets,4:3
NBA,1995,Houston Rockets,San Antonio Spurs,Houston Rockets,4:2
NBA,1995,Houston Rockets,Utah Jazz,Houston Rockets,3:2
NBA,1995,Indiana Pacers,New York Knicks,Indiana Pacers,4:3
NBA,1995,Indiana Pacers,Orlando Magic,Orlando Magic,3:4
NBA,1995,Los Angeles Lakers,San Antonio Spurs,San Antonio Spurs,2:4
NBA,1995,Los Angeles Lakers,Seattle SuperSonics,Los Angeles Lakers,3:1
NBA,1995,Phoenix Suns,Portland Trail Blazers,Phoenix Suns,3:0
NBA,1996,Atlanta Hawks,Indiana Pacers,Atlanta Hawks,3:2
NBA,1996,Atlanta Hawks,Orlando Magic,Orlando Magic,1:4
NBA,1996,Chicago Bulls,Miami Heat,Chicago Bulls,3:0
NBA,1996,Chicago Bulls,New York Knicks,Chicago Bulls,4:1
NBA,1996,Chicago Bulls,Orlando Magic,Chicago Bulls,4:0
NBA,1996,Chicago Bulls,Seattle SuperSonics,Chicago Bulls,4:2
NBA,1996,Cleveland Cavaliers,New York Knicks,New York Knicks,0:3
NBA,1996,Detroit Pistons,Orlando Magic,Orlando Magic,0:3
NBA,1996,Houston Rockets,Los Angeles Lakers,Houston Rockets,3:1
NBA,1996,Houston Rockets,Seattle SuperSonics,Seattle SuperSonics,0:4
NBA,1996,Phoenix Suns,San Antonio Spurs,San Antonio Spurs,1:3
NBA,1996,Portland Trail Blazers,Utah Jazz,Utah Jazz,2:3
NBA,1996,Sacramento Kings,Seattle SuperSonics,Seattle SuperSonics,1:3
NBA,1996,San Antonio Spurs,Utah Jazz,Utah Jazz,2:4
NBA,1996,Seattle SuperSonics,Utah Jazz,Seattle SuperSonics,4:3
NBA,1997,Atlanta Hawks,Chicago Bulls,Chicago Bulls,1:4
NBA,1997,Atlanta Hawks,Detroit Pistons,Atlanta Hawks,3:2
NBA,1997,Charlotte Hornets,New York Knicks,New York Knicks,0:3
NBA,1997,Chicago Bulls,Miami Heat,Chicago Bulls,4:1
NBA,1997,Chicago Bulls,Utah Jazz,Chicago Bulls,4:2
NBA,1997,Chicago Bulls,Washington Bullets,Chicago Bulls,3:0
NBA,1997,Houston Rockets,Minnesota Timberwolves,Houston Rockets,3:0
NBA,1997,Houston Rockets,Seattle SuperSonics,Houston Rockets,4:3
NBA,1997,Houston Rockets,Utah Jazz,Utah Jazz,2:4
NBA,1997,Los Angeles Clippers,Utah Jazz,Utah Jazz,0:3
NBA,1997,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,3:1
NBA,1997,Los Angeles Lakers,Utah Jazz,Utah Jazz,1:4
NBA,1997,Miami Heat,New York Knicks,Miami Heat,4:3
NBA,1997,Miami Heat,Orlando Magic,Miami Heat,3:2
NBA,1997,Phoenix Suns,Seattle SuperSonics,Seattle SuperSonics,2:3
NBA,1998,Atlanta Hawks,Charlotte Hornets,Charlotte Hornets,1:3
NBA,1998,Charlotte Hornets,Chicago Bulls,Chicago Bulls,1:4
NBA,1998,Chicago Bulls,Indiana Pacers,Chicago Bulls,4:3
NBA,1998,Chicago Bulls,New Jersey Nets,Chicago Bulls,3:0
NBA,1998,Chicago Bulls,Utah Jazz,Chicago Bulls,4:2
NBA,1998,Cleveland Cavaliers,Indiana Pacers,Indiana Pacers,1:3
NBA,1998,Houston Rockets,Utah Jazz,Utah Jazz,2:3
NBA,1998,Indiana Pacers,New York Knicks,Indiana Pacers,4:1
NBA,1998,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,3:1
NBA,1998,Los Angeles Lakers,Seattle SuperSonics,Los Angeles Lakers,4:1
NBA,1998,Los Angeles Lakers,Utah Jazz,Utah Jazz,0:4
NBA,1998,Miami Heat,New York Knicks,New York Knicks,2:3
NBA,1998,Minnesota Timberwolves,Seattle SuperSonics,Seattle SuperSonics,2:3
NBA,1998,Phoenix Suns,San Antonio Spurs,San Antonio Spurs,1:3
NBA,1998,San Antonio Spurs,Utah Jazz,Utah Jazz,1:4
NBA,1999,Atlanta Hawks,Detroit Pistons,Atlanta Hawks,3:2
NBA,1999,Atlanta Hawks,New York Knicks,New York Knicks,0:4
NBA,1999,Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,1:3
NBA,1999,Indiana Pacers,Milwaukee Bucks,Indiana Pacers,3:0
NBA,1999,Indiana Pacers,New York Knicks,New York Knicks,2:4
NBA,1999,Indiana Pacers,Philadelphia 76ers,Indiana Pacers,4:0
NBA,1999,Los Angeles Lakers,San Antonio Spurs,San Antonio Spurs,0:4
NBA,1999,Miami Heat,New York Knicks,New York Knicks,2:3
NBA,1999,Minnesota Timberwolves,San Antonio Spurs,San Antonio Spurs,1:3
NBA,1999,New York Knicks,San Antonio Spurs,San Antonio Spurs,1:4
NBA,1999,Orlando Magic,Philadelphia 76ers,Philadelphia 76ers,1:3
NBA,1999,Phoenix Suns,Portland Trail Blazers,Portland Trail Blazers,0:3
NBA,1999,Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs,0:4
NBA,1999,Portland Trail Blazers,Utah Jazz,Portland Trail Blazers,4:2
NBA,1999,Sacramento Kings,Utah Jazz,Utah Jazz,2:3
NBA,2000,Charlotte Hornets,Philadelphia 76ers,Philadelphia 76ers,1:3
NBA,2000,Detroit Pistons,Miami Heat,Miami Heat,0:3
NBA,2000,Indiana Pacers,Los Angeles Lakers,Los Angeles Lakers,2:4
NBA,2000,Indiana Pacers,Milwaukee Bucks,Indiana Pacers,3:2
NBA,2000,Indiana Pacers,New York Knicks,Indiana Pacers,4:2
NBA,2000,Indiana Pacers,Philadelphia 76ers,Indiana Pacers,4:2
NBA,2000,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,4:1
NBA,2000,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,4:3
NBA,2000,Los Angeles Lakers,Sacramento Kings,Los Angeles Lakers,3:2
NBA,2000,Miami Heat,New York Knicks,New York Knicks,3:4
NBA,2000,Minnesota Timberwolves,Portland Trail Blazers,Portland Trail Blazers,1:3
NBA,2000,New York Knicks,Toronto Raptors,New York Knicks,3:0
NBA,2000,Phoenix Suns,San Antonio Spurs,Phoenix Suns,3:1
NBA,2000,Portland Trail Blazers,Utah Jazz,Portland Trail Blazers,4:1
NBA,2000,Seattle SuperSonics,Utah Jazz,Utah Jazz,2:3
NBA,2001,Charlotte Hornets,Miami Heat,Charlotte Hornets,3:0
NBA,2001,Charlotte Hornets,Milwaukee Bucks,Milwaukee Bucks,3:4
NBA,2001,Dallas Mavericks,San Antonio Spurs,San Antonio Spurs,1:4
NBA,2001,Dallas Mavericks,Utah Jazz,Dallas Mavericks,3:2
NBA,2001,Indiana Pacers,Philadelphia 76ers,Philadelphia 76ers,1:3
NBA,2001,Los Angeles Lakers,Philadelphia 76ers,Los Angeles Lakers,4:1
NBA,2001,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,3:0
NBA,2001,Los Angeles Lakers,Sacramento Kings,Los Angeles Lakers,4:0
NBA,2001,Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,4:0
NBA,2001,Milwaukee Bucks,Orlando Magic,Milwaukee Bucks,3:1
NBA,2001,Milwaukee Bucks,Philadelphia 76ers,Philadelphia 76ers,3:4
NBA,2001,Minnesota Timberwolves,San Antonio Spurs,San Antonio Spurs,1:3
NBA,2001,New York Knicks,Toronto Raptors,Toronto Raptors,2:3
NBA,2001,Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,4:3
NBA,2001,Phoenix Suns,Sacramento Kings,Sacramento Kings,1:3
NBA,2002,Boston Celtics,Detroit Pistons,Boston Celtics,4:1
NBA,2002,Boston Celtics,New Jersey Nets,New Jersey Nets,2:4
NBA,2002,Boston Celtics,Philadelphia 76ers,Boston Celtics,3:2
NBA,2002,Charlotte Hornets,New Jersey Nets,New Jersey Nets,1:4
NBA,2002,Charlotte Hornets,Orlando Magic,Charlotte Hornets,3:1
NBA,2002,Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,3:0
NBA,2002,Dallas Mavericks,Sacramento Kings,Sacramento Kings,1:4
NBA,2002,Detroit Pistons,Toronto Raptors,Detroit Pistons,3:2
NBA,2002,Indiana Pacers,New Jersey Nets,New Jersey Nets,2:3
NBA,2002,Los Angeles Lakers,New Jersey Nets,Los Angeles Lakers,4:0
NBA,2002,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,3:0
NBA,2002,Los Angeles Lakers,Sacramento Kings,Los Angeles Lakers,4:3
NBA,2002,Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,4:1
NBA,2002,Sacramento Kings,Utah Jazz,Sacramento Kings,3:1
NBA,2002,San Antonio Spurs,Seattle SuperSonics,San Antonio Spurs,3:2
NBA,2003,Boston Celtics,Indiana Pacers,Boston Celtics,4:2
NBA,2003,Boston Celtics,New Jersey Nets,New Jersey Nets,0:4
NBA,2003,Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,4:3
NBA,2003,Dallas Mavericks,Sacramento Kings,Dallas Mavericks,4:3
NBA,2003,Dallas Mavericks,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2003,Detroit Pistons,New Jersey Nets,New Jersey Nets,0:4
NBA,2003,Detroit Pistons,Orlando Magic,Detroit Pistons,4:3
NBA,2003,Detroit Pistons,Philadelphia 76ers,Detroit Pistons,4:2
NBA,2003,Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,4:2
NBA,2003,Los Angeles Lakers,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2003,Milwaukee Bucks,New Jersey Nets,New Jersey Nets,2:4
NBA,2003,New Jersey Nets,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2003,New Orleans Hornets,Philadelphia 76ers,Philadelphia 76ers,2:4
NBA,2003,Phoenix Suns,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2003,Sacramento Kings,Utah Jazz,Sacramento Kings,4:1
NBA,2004,Boston Celtics,Indiana Pacers,Indiana Pacers,0:4
NBA,2004,Dallas Mavericks,Sacramento Kings,Sacramento Kings,1:4
NBA,2004,Denver Nuggets,Minnesota Timberwolves,Minnesota Timberwolves,1:4
NBA,2004,Detroit Pistons,Indiana Pacers,Detroit Pistons,4:2
NBA,2004,Detroit Pistons,Los Angeles Lakers,Detroit Pistons,4:1
NBA,2004,Detroit Pistons,Milwaukee Bucks,Detroit Pistons,4:1
NBA,2004,Detroit Pistons,New Jersey Nets,Detroit Pistons,4:3
NBA,2004,Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,1:4
NBA,2004,Indiana Pacers,Miami Heat,Indiana Pacers,4:2
NBA,2004,Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,4:2
NBA,2004,Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,4:2
NBA,2004,Memphis Grizzlies,San Antonio Spurs,San Antonio Spurs,0:4
NBA,2004,Miami Heat,New Orleans Hornets,Miami Heat,4:3
NBA,2004,Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves,4:3
NBA,2004,New Jersey Nets,New York Knicks,New Jersey Nets,4:0
NBA,2005,Boston Celtics,Indiana Pacers,Indiana Pacers,3:4
NBA,2005,Chicago Bulls,Washington Wizards,Washington Wizards,2:4
NBA,2005,Dallas Mavericks,Houston Rockets,Dallas Mavericks,4:3
NBA,2005,Dallas Mavericks,Phoenix Suns,Phoenix Suns,2:4
NBA,2005,Denver Nuggets,San Antonio Spurs,San Antonio Spurs,1:4
NBA,2005,Detroit Pistons,Indiana Pacers,Detroit Pistons,4:2
NBA,2005,Detroit Pistons,Miami Heat,Detroit Pistons,4:3
NBA,2005,Detroit Pistons,Philadelphia 76ers,Detroit Pistons,4:1
NBA,2005,Detroit Pistons,San Antonio Spurs,San Antonio Spurs,3:4
NBA,2005,Memphis Grizzlies,Phoenix Suns,Phoenix Suns,0:4
NBA,2005,Miami Heat,New Jersey Nets,Miami Heat,4:0
NBA,2005,Miami Heat,Washington Wizards,Miami Heat,4:0
NBA,2005,Phoenix Suns,San Antonio Spurs,San Antonio Spurs,1:4
NBA,2005,Sacramento Kings,Seattle SuperSonics,Seattle SuperSonics,1:4
NBA,2005,San Antonio Spurs,Seattle SuperSonics,San Antonio Spurs,4:2
NBA,2006,Chicago Bulls,Miami Heat,Miami Heat,2:4
NBA,2006,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,3:4
NBA,2006,Cleveland Cavaliers,Washington Wizards,Cleveland Cavaliers,4:2
NBA,2006,Dallas Mavericks,Memphis Grizzlies,Dallas Mavericks,4:0
NBA,2006,Dallas Mavericks,Miami Heat,Miami Heat,2:4
NBA,2006,Dallas Mavericks,Phoenix Suns,Dallas Mavericks,4:2
NBA,2006,Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,4:3
NBA,2006,Denver Nuggets,Los Angeles Clippers,Los Angeles Clippers,1:4
NBA,2006,Detroit Pistons,Miami Heat,Miami Heat,2:4
NBA,2006,Detroit Pistons,Milwaukee Bucks,Detroit Pistons,4:1
NBA,2006,Indiana Pacers,New Jersey Nets,New Jersey Nets,2:4
NBA,2006,Los Angeles Clippers,Phoenix Suns,Phoenix Suns,3:4
NBA,2006,Los Angeles Lakers,Phoenix Suns,Phoenix Suns,3:4
NBA,2006,Miami Heat,New Jersey Nets,Miami Heat,4:1
NBA,2006,Sacramento Kings,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2007,Chicago Bulls,Detroit Pistons,Detroit Pistons,2:4
NBA,2007,Chicago Bulls,Miami Heat,Chicago Bulls,4:0
NBA,2007,Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,4:2
NBA,2007,Cleveland Cavaliers,New Jersey Nets,Cleveland Cavaliers,4:2
NBA,2007,Cleveland Cavaliers,San Antonio Spurs,San Antonio Spurs,0:4
NBA,2007,Cleveland Cavaliers,Washington Wizards,Cleveland Cavaliers,4:0
NBA,2007,Dallas Mavericks,Golden State Warriors,Golden State Warriors,2:4
NBA,2007,Denver Nuggets,San Antonio Spurs,San Antonio Spurs,1:4
NBA,2007,Detroit Pistons,Orlando Magic,Detroit Pistons,4:0
NBA,2007,Golden State Warriors,Utah Jazz,Utah Jazz,1:4
NBA,2007,Houston Rockets,Utah Jazz,Utah Jazz,3:4
NBA,2007,Los Angeles Lakers,Phoenix Suns,Phoenix Suns,1:4
NBA,2007,New Jersey Nets,Toronto Raptors,New Jersey Nets,4:2
NBA,2007,Phoenix Suns,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2007,San Antonio Spurs,Utah Jazz,San Antonio Spurs,4:1
NBA,2008,Atlanta Hawks,Boston Celtics,Boston Celtics,3:4
NBA,2008,Boston Celtics,Cleveland Cavaliers,Boston Celtics,4:3
NBA,2008,Boston Celtics,Detroit Pistons,Boston Celtics,4:2
NBA,2008,Boston Celtics,Los Angeles Lakers,Boston Celtics,4:2
NBA,2008,Cleveland Cavaliers,Washington Wizards,Cleveland Cavaliers,4:2
NBA,2008,Dallas Mavericks,New Orleans Hornets,New Orleans Hornets,1:4
NBA,2008,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,0:4
NBA,2008,Detroit Pistons,Orlando Magic,Detroit Pistons,4:1
NBA,2008,Detroit Pistons,Philadelphia 76ers,Detroit Pistons,4:2
NBA,2008,Houston Rockets,Utah Jazz,Utah Jazz,2:4
NBA,2008,Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,4:1
NBA,2008,Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,4:2
NBA,2008,New Orleans Hornets,San Antonio Spurs,San Antonio Spurs,3:4
NBA,2008,Orlando Magic,Toronto Raptors,Orlando Magic,4:1
NBA,2008,Phoenix Suns,San Antonio Spurs,San Antonio Spurs,1:4
