league,season,team1,team2,winner,game_score
NBA,1950,Anderson Packers,Minneapolis Lakers,Minneapolis Lakers,0:2
NBA,1950,Anderson Packers,Tri-Cities Blackhawks,Anderson Packers,2:1
NBA,1950,Chicago Stags,Fort Wayne Pistons,Fort Wayne Pistons,0:1
NBA,1950,Chicago Stags,Minneapolis Lakers,Minneapolis Lakers,0:2
NBA,1950,Fort Wayne Pistons,Minneapolis Lakers,Minneapolis Lakers,0:2
NBA,1950,Fort Wayne Pistons,Rochester Royals,Fort Wayne Pistons,2:0
NBA,1950,Indianapolis Olympians,Sheboygan Red Skins,Indianapolis Olympians,2:1
NBA,1950,Minneapolis Lakers,Rochester Royals,Minneapolis Lakers,1:0
NBA,1950,Minneapolis Lakers,Syracuse Nationals,Minneapolis Lakers,4:2
NBA,1950,New York Knicks,Syracuse Nationals,Syracuse Nationals,1:2
NBA,1950,New York Knicks,Washington Capitols,New York Knicks,2:0
NBA,1950,Philadelphia Warriors,Syracuse Nationals,Syracuse Nationals,0:2
NBA,1951,Boston Celtics,New York Knicks,New York Knicks,0:2
NBA,1951,Fort Wayne Pistons,Rochester Royals,Rochester Royals,1:2
NBA,1951,Indianapolis Olympians,Minneapolis Lakers,Minneapolis Lakers,1:2
NBA,1951,Minneapolis Lakers,Rochester Royals,Rochester Royals,1:3
NBA,1951,New York Knicks,Rochester Royals,Rochester Royals,3:4
NBA,1951,New York Knicks,Syracuse Nationals,New York Knicks,3:2
NBA,1951,Philadelphia Warriors,Syracuse Nationals,Syracuse Nationals,0:2
NBA,1952,Boston Celtics,New York Knicks,New York Knicks,1:2
NBA,1952,Fort Wayne Pistons,Rochester Royals,Rochester Royals,0:2
NBA,1952,Indianapolis Olympians,Minneapolis Lakers,Minneapolis Lakers,0:2
NBA,1952,Minneapolis Lakers,New York Knicks,Minneapolis Lakers,4:3
NBA,1952,Minneapolis Lakers,Rochester Royals,Minneapolis Lakers,3:1
NBA,1952,New York Knicks,Syracuse Nationals,New York Knicks,3:1
NBA,1952,Philadelphia Warriors,Syracuse Nationals,Syracuse Nationals,1:2
NBA,1953,Baltimore Bullets,New York Knicks,New York Knicks,0:2
NBA,1953,Boston Celtics,New York Knicks,New York Knicks,1:3
NBA,1953,Boston Celtics,Syracuse Nationals,Boston Celtics,2:1
NBA,1953,Fort Wayne Pistons,Milwaukee Hawks,Milwaukee Hawks,0:1
NBA,1953,Fort Wayne Pistons,Minneapolis Lakers,Minneapolis Lakers,2:3
NBA,1953,Fort Wayne Pistons,Rochester Royals,Fort Wayne Pistons,2:1
NBA,1953,Indianapolis Olympians,Milwaukee Hawks,Indianapolis Olympians,1:0
NBA,1953,Indianapolis Olympians,Minneapolis Lakers,Minneapolis Lakers,0:3
NBA,1953,Minneapolis Lakers,New York Knicks,Minneapolis Lakers,4:1
NBA,1954,Boston Celtics,Syracuse Nationals,Syracuse Nationals,0:2
NBA,1954,Minneapolis Lakers,Rochester Royals,Minneapolis Lakers,2:1
NBA,1954,Minneapolis Lakers,Syracuse Nationals,Minneapolis Lakers,4:3
NBA,1955,Boston Celtics,New York Knicks,Boston Celtics,2:1
NBA,1955,Boston Celtics,Syracuse Nationals,Syracuse Nationals,1:3
NBA,1955,Fort Wayne Pistons,Minneapolis Lakers,Fort Wayne Pistons,3:1
NBA,1955,Fort Wayne Pistons,Syracuse Nationals,Syracuse Nationals,3:4
NBA,1955,Minneapolis Lakers,Rochester Royals,Minneapolis Lakers,2:1
NBA,1956,Boston Celtics,Syracuse Nationals,Syracuse Nationals,1:2
NBA,1956,Fort Wayne Pistons,Philadelphia Warriors,Philadelphia Warriors,1:4
NBA,1956,Fort Wayne Pistons,St. Louis Hawks,Fort Wayne Pistons,3:2
NBA,1956,Minneapolis Lakers,St. Louis Hawks,Minneapolis Lakers,2:2
NBA,1956,New York Knicks,Syracuse Nationals,Syracuse Nationals,0:1
NBA,1956,Philadelphia Warriors,Syracuse Nationals,Philadelphia Warriors,3:2
NBA,1957,Boston Celtics,St. Louis Hawks,Boston Celtics,4:3
NBA,1957,Boston Celtics,Syracuse Nationals,Boston Celtics,3:0
NBA,1957,Fort Wayne Pistons,Minneapolis Lakers,Minneapolis Lakers,0:2
NBA,1957,Fort Wayne Pistons,St. Louis Hawks,St. Louis Hawks,0:1
NBA,1957,Minneapolis Lakers,St. Louis Hawks,St. Louis Hawks,0:4
NBA,1957,Philadelphia Warriors,Syracuse Nationals,Syracuse Nationals,0:2
NBA,1958,Boston Celtics,Philadelphia Warriors,Boston Celtics,4:1
NBA,1958,Boston Celtics,St. Louis Hawks,St. Louis Hawks,2:4
NBA,1958,Cincinnati Royals,Detroit Pistons,Detroit Pistons,0:2
NBA,1958,Detroit Pistons,St. Louis Hawks,St. Louis Hawks,1:4
NBA,1958,Philadelphia Warriors,Syracuse Nationals,Philadelphia Warriors,2:1
NBA,1959,Boston Celtics,Minneapolis Lakers,Boston Celtics,4:0
NBA,1959,Boston Celtics,Syracuse Nationals,Boston Celtics,4:3
NBA,1959,Detroit Pistons,Minneapolis Lakers,Minneapolis Lakers,1:2
NBA,1959,Minneapolis Lakers,St. Louis Hawks,Minneapolis Lakers,4:2
NBA,1959,New York Knicks,Syracuse Nationals,Syracuse Nationals,0:2
NBA,1960,Boston Celtics,Philadelphia Warriors,Boston Celtics,4:2
NBA,1960,Boston Celtics,St. Louis Hawks,Boston Celtics,4:3
NBA,1960,Detroit Pistons,Minneapolis Lakers,Minneapolis Lakers,0:2
NBA,1960,Minneapolis Lakers,St. Louis Hawks,St. Louis Hawks,3:4
NBA,1960,Philadelphia Warriors,Syracuse Nationals,Philadelphia Warriors,2:1
NBA,1961,Boston Celtics,St. Louis Hawks,Boston Celtics,4:1
NBA,1961,Boston Celtics,Syracuse Nationals,Boston Celtics,4:1
NBA,1961,Detroit Pistons,Los Angeles Lakers,Los Angeles Lakers,2:3
NBA,1961,Los Angeles Lakers,St. Louis Hawks,St. Louis Hawks,3:4
NBA,1961,Philadelphia Warriors,Syracuse Nationals,Syracuse Nationals,0:3
NBA,1962,Boston Celtics,Los Angeles Lakers,Boston Celtics,4:3
NBA,1962,Boston Celtics,Philadelphia Warriors,Boston Celtics,4:3
NBA,1962,Cincinnati Royals,Detroit Pistons,Detroit Pistons,1:3
NBA,1962,Detroit Pistons,Los Angeles Lakers,Los Angeles Lakers,2:4
NBA,1962,Philadelphia Warriors,Syracuse Nationals,Philadelphia Warriors,3:2
NBA,1963,Boston Celtics,Cincinnati Royals,Boston Celtics,4:3
NBA,1963,Boston Celtics,Los Angeles Lakers,Boston Celtics,4:2
NBA,1963,Cincinnati Royals,Syracuse Nationals,Cincinnati Royals,3:2
NBA,1963,Detroit Pistons,St. Louis Hawks,St. Louis Hawks,1:3
NBA,1963,Los Angeles Lakers,St. Louis Hawks,Los Angeles Lakers,4:3
NBA,1964,Boston Celtics,Cincinnati Royals,Boston Celtics,4:1
NBA,1964,Boston Celtics,San Francisco Warriors,Boston Celtics,4:1
NBA,1964,Cincinnati Royals,Philadelphia 76ers,Cincinnati Royals,3:2
NBA,1964,Los Angeles Lakers,St. Louis Hawks,St. Louis Hawks,2:3
NBA,1964,San Francisco Warriors,St. Louis Hawks,San Francisco Warriors,4:3
NBA,1965,Baltimore Bullets,Los Angeles Lakers,Los Angeles Lakers,2:4
NBA,1965,Baltimore Bullets,St. Louis Hawks,Baltimore Bullets,3:1
NBA,1965,Boston Celtics,Los Angeles Lakers,Boston Celtics,4:1
NBA,1965,Boston Celtics,Philadelphia 76ers,Boston Celtics,4:3
NBA,1965,Cincinnati Royals,Philadelphia 76ers,Philadelphia 76ers,1:3
NBA,1966,Baltimore Bullets,St. Louis Hawks,St. Louis Hawks,0:3
NBA,1966,Boston Celtics,Cincinnati Royals,Boston Celtics,3:2
NBA,1966,Boston Celtics,Los Angeles Lakers,Boston Celtics,4:3
NBA,1966,Boston Celtics,Philadelphia 76ers,Boston Celtics,4:1
NBA,1966,Los Angeles Lakers,St. Louis Hawks,Los Angeles Lakers,4:3
NBA,1967,Boston Celtics,New York Knicks,Boston Celtics,3:1
NBA,1967,Boston Celtics,Philadelphia 76ers,Philadelphia 76ers,1:4
NBA,1967,Chicago Bulls,St. Louis Hawks,St. Louis Hawks,0:3
NBA,1967,Cincinnati Royals,Philadelphia 76ers,Philadelphia 76ers,1:3
NBA,1967,Los Angeles Lakers,San Francisco Warriors,San Francisco Warriors,0:3
NBA,1967,Philadelphia 76ers,San Francisco Warriors,Philadelphia 76ers,4:2
NBA,1967,San Francisco Warriors,St. Louis Hawks,San Francisco Warriors,4:2
NBA,1968,Boston Celtics,Detroit Pistons,Boston Celtics,4:2
NBA,1968,Boston Celtics,Los Angeles Lakers,Boston Celtics,4:2
NBA,1968,Boston Celtics,Philadelphia 76ers,Boston Celtics,4:3
NBA,1968,Chicago Bulls,Los Angeles Lakers,Los Angeles Lakers,1:4
NBA,1968,Los Angeles Lakers,San Francisco Warriors,Los Angeles Lakers,4:0
NBA,1968,New York Knicks,Philadelphia 76ers,Philadelphia 76ers,2:4
NBA,1968,San Francisco Warriors,St. Louis Hawks,San Francisco Warriors,4:2
NBA,1969,Atlanta Hawks,Los Angeles Lakers,Los Angeles Lakers,1:4
NBA,1969,Atlanta Hawks,San Diego Rockets,Atlanta Hawks,4:2
NBA,1969,Baltimore Bullets,New York Knicks,New York Knicks,0:4
NBA,1969,Boston Celtics,Los Angeles Lakers,Boston Celtics,4:3
NBA,1969,Boston Celtics,New York Knicks,Boston Celtics,4:2
NBA,1969,Boston Celtics,Philadelphia 76ers,Boston Celtics,4:1
NBA,1969,Los Angeles Lakers,San Francisco Warriors,Los Angeles Lakers,4:2
NBA,1970,Atlanta Hawks,Chicago Bulls,Atlanta Hawks,4:1
NBA,1970,Atlanta Hawks,Los Angeles Lakers,Los Angeles Lakers,0:4
NBA,1970,Baltimore Bullets,New York Knicks,New York Knicks,3:4
NBA,1970,Los Angeles Lakers,New York Knicks,New York Knicks,3:4
NBA,1970,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,4:3
NBA,1970,Milwaukee Bucks,New York Knicks,New York Knicks,1:4
NBA,1970,Milwaukee Bucks,Philadelphia 76ers,Milwaukee Bucks,4:1
